"cohen_d_xaxis","cohen_d_yaxis","pvalue_negneg","pvalue_pospos","xaxis","yaxis","feat","cancer_type","nPosX","nPosY","nSamplesX","nSamplesY"
-0.672207521387965,-0.672207521387965,0.0099009900990099,0.801980198019802,"Cisplatin","Oxaliplatin","SBS59","MM",9,9,18,18
-2.22976949745687,-2.22976949745687,0.0099009900990099,1,"Cisplatin","Oxaliplatin","SBS60","MM",4,4,18,18
-0.24037585301751,-0.24037585301751,0.108910891089109,0.485148514851485,"Cisplatin","Oxaliplatin","SBS-CL1","MM",3,3,18,18
-0.285542990514141,-0.285542990514141,0.108910891089109,0.465346534653465,"Cisplatin","Oxaliplatin","SBS-CL3","MM",14,14,18,18
-0.767699149416107,-0.767699149416107,0.0396039603960396,0.683168316831683,"Cisplatin","Oxaliplatin","SBS2","SARC",2,2,12,12
0.695583394086949,0.695583394086949,0.722772277227723,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS4/45L","SARC",6,6,12,12
0.732075001920548,0.732075001920548,0.673267326732673,0.0594059405940594,"Cisplatin","Oxaliplatin","SBS7a","SARC",2,2,12,12
0.732075001920548,0.732075001920548,0.693069306930693,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS7b","SARC",2,2,12,12
0.225394923523188,0.225394923523188,0.396039603960396,0.168316831683168,"Cisplatin","Oxaliplatin","SBS7dL","SARC",4,4,12,12
0.913118710187477,0.913118710187477,0.891089108910891,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS8L/4L","SARC",6,6,12,12
0.892938616482391,0.892938616482391,0.762376237623762,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS11","SARC",2,2,12,12
0.888974069324946,0.888974069324946,0.861386138613861,0.0198019801980198,"Cisplatin","Oxaliplatin","SBS12/26L","SARC",3,3,12,12
-0.215235361784791,-0.215235361784791,0.158415841584158,0.386138613861386,"Cisplatin","Oxaliplatin","SBS13","SARC",2,2,12,12
0.855915950310696,0.855915950310696,0.841584158415842,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS14","SARC",3,3,12,12
1.51525552864023,1.51525552864023,0.98019801980198,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS16L","SARC",2,2,12,12
0.883359196287336,0.883359196287336,0.831683168316832,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS17aL","SARC",2,2,12,12
-0.207331403109719,-0.207331403109719,0.128712871287129,0.465346534653465,"Cisplatin","Oxaliplatin","SBS17b","SARC",3,3,12,12
0.419513843367192,0.419513843367192,0.544554455445545,0.108910891089109,"Cisplatin","Oxaliplatin","SBS18/36L","SARC",5,5,12,12
