"","TTT>G","TTT>C","TTT>A","GTT>G","GTT>C","GTT>A","CTT>G","CTT>C","CTT>A","ATT>G","ATT>C","ATT>A","ACA>A","ACA>G","ACA>T","ACC>A","ACC>G","ACC>T","ACG>A","ACG>G","ACG>T","ACT>A","ACT>G","ACT>T","TTG>G","TTG>C","TTG>A","GTG>G","GTG>C","GTG>A","CTG>G","CTG>C","CTG>A","ATG>G","ATG>C","ATG>A","CCA>A","CCA>G","CCA>T","CCC>A","CCC>G","CCC>T","CCG>A","CCG>G","CCG>T","CCT>A","CCT>G","CCT>T","TTC>G","TTC>C","TTC>A","GTC>G","GTC>C","GTC>A","CTC>G","CTC>C","CTC>A","ATC>G","ATC>C","ATC>A","GCA>A","GCA>G","GCA>T","GCC>A","GCC>G","GCC>T","GCG>A","GCG>G","GCG>T","GCT>A","GCT>G","GCT>T","TTA>G","TTA>C","TTA>A","GTA>G","GTA>C","GTA>A","CTA>G","CTA>C","CTA>A","ATA>G","ATA>C","ATA>A","TCA>A","TCA>G","TCA>T","TCC>A","TCC>G","TCC>T","TCG>A","TCG>G","TCG>T","TCT>A","TCT>G","TCT>T"
"925338",32,66,17,46,53,6,28,61,12,9,82,11,48,20,75,35,14,60,15,13,178,20,18,62,17,39,5,62,69,13,17,80,13,18,100,19,19,15,65,25,27,82,10,8,185,13,20,86,17,56,5,23,41,10,15,57,6,4,43,16,14,36,48,27,36,68,19,9,132,15,45,62,10,37,18,21,37,7,3,34,3,10,91,10,15,19,60,16,21,71,4,9,117,35,43,89
"910704",3,4,0,27,3,1,4,3,1,2,8,1,14,3,7,4,2,6,1,3,14,10,5,9,3,0,0,36,0,5,5,5,1,5,6,0,7,2,4,2,4,5,2,2,31,0,1,6,3,33,0,10,7,1,1,21,4,0,14,3,2,13,7,0,14,6,0,2,11,5,34,11,1,3,1,15,0,5,0,4,0,2,16,0,7,33,29,5,7,31,1,3,20,5,36,34
"908459",0,4,1,37,0,1,0,7,0,0,5,0,21,0,7,6,1,11,3,0,10,9,0,7,1,0,1,19,0,1,1,7,2,1,4,0,1,4,0,2,0,2,1,2,19,1,2,8,0,18,0,13,8,1,0,21,0,0,10,0,9,11,3,2,14,2,2,2,7,0,25,2,0,3,0,10,7,3,0,2,2,1,3,3,8,15,34,7,9,15,0,0,12,2,15,33
"688031",2,4,4,42,8,2,0,10,2,0,0,1,14,0,0,13,0,4,1,0,5,15,2,8,4,4,2,15,3,2,1,4,0,3,13,3,2,2,1,0,1,0,1,0,7,2,8,4,3,22,0,6,3,0,0,10,0,0,10,1,3,11,0,0,15,3,2,8,6,0,40,8,2,6,3,19,5,2,1,4,0,0,1,4,1,0,3,2,3,6,1,2,0,0,2,24
"688025",3,9,3,32,12,2,1,4,2,0,8,0,26,4,21,13,0,12,6,2,25,17,6,12,2,2,1,26,13,3,4,13,2,0,10,5,10,11,13,6,0,8,2,1,23,10,10,17,5,16,1,8,13,0,2,21,0,0,12,0,16,6,5,4,21,2,5,4,22,5,32,11,1,1,1,11,6,2,2,1,2,3,13,3,8,0,16,3,1,19,8,2,15,7,5,25
"688027",6,3,2,31,5,1,1,9,1,1,6,0,10,4,10,11,3,8,2,0,27,14,2,13,3,6,1,31,6,8,1,21,3,4,10,5,16,3,11,6,4,16,1,0,42,7,8,20,3,20,0,10,6,0,0,15,2,0,7,3,13,9,5,7,15,12,6,7,13,4,32,8,0,2,3,19,2,3,1,7,0,2,14,0,0,5,7,3,3,17,2,1,24,11,5,24
"908475",0,7,1,38,10,2,0,2,0,3,15,1,22,5,10,20,0,9,2,2,34,12,2,7,3,4,1,44,6,7,2,4,3,2,14,2,15,3,9,11,1,16,0,5,38,8,6,10,7,23,1,15,8,1,5,13,7,1,13,1,9,8,9,2,24,3,1,3,30,4,31,3,4,3,1,14,6,2,0,6,2,1,11,1,11,2,13,8,5,17,1,3,19,7,4,24
"687798",6,5,4,27,5,2,2,7,11,1,5,5,27,7,22,19,4,16,12,4,24,27,5,13,7,7,3,27,7,6,3,12,9,0,17,6,41,3,20,26,4,25,14,8,38,24,9,23,2,23,2,16,7,5,0,17,2,0,13,1,17,11,3,11,12,14,16,4,14,14,21,12,4,5,3,10,11,4,0,4,2,1,12,4,21,4,21,23,5,23,3,5,18,19,17,32
"687821",0,1,0,17,7,2,5,7,1,2,1,1,13,4,10,3,0,7,4,0,27,3,0,6,4,0,2,20,0,4,3,10,4,0,12,3,3,1,1,3,6,2,2,0,21,4,2,16,3,21,0,10,9,3,1,7,1,2,9,0,5,7,5,1,8,6,1,1,16,4,12,3,6,5,0,5,3,1,1,1,1,0,6,0,0,4,6,4,3,16,1,6,16,0,5,13
"908471",6,9,0,19,10,0,3,11,0,2,11,2,14,7,9,8,0,13,6,1,25,7,5,7,1,4,2,22,2,1,0,3,0,1,8,4,10,5,9,6,7,19,4,3,16,6,7,3,0,22,3,8,9,1,2,8,3,0,9,2,6,7,5,6,8,11,5,5,6,0,15,12,1,3,5,15,4,1,0,5,2,3,2,6,6,2,11,9,2,13,4,3,16,10,3,26
"687997",3,2,3,15,6,3,0,3,1,0,3,2,14,3,6,11,6,16,1,0,29,5,5,6,0,3,1,20,1,1,1,9,3,2,6,0,14,2,6,7,4,4,1,0,18,3,5,17,2,3,2,7,6,2,0,9,0,0,17,1,7,2,9,7,8,1,2,4,9,3,10,4,1,0,3,4,3,1,2,4,3,1,11,0,9,1,8,7,3,15,2,4,7,11,3,8
"906834",3,4,4,16,6,0,2,5,1,0,4,1,4,3,8,3,2,4,3,0,13,7,0,15,0,3,0,16,1,0,2,4,2,0,10,0,8,2,1,3,1,8,6,3,31,3,3,9,0,13,1,8,6,1,2,15,1,0,12,0,2,0,7,3,7,4,4,1,11,1,10,5,0,2,0,6,0,2,0,0,4,1,8,1,0,1,9,0,0,18,3,1,21,1,10,6
