"","TTT>G","TTT>C","TTT>A","GTT>G","GTT>C","GTT>A","CTT>G","CTT>C","CTT>A","ATT>G","ATT>C","ATT>A","ACA>A","ACA>G","ACA>T","ACC>A","ACC>G","ACC>T","ACG>A","ACG>G","ACG>T","ACT>A","ACT>G","ACT>T","TTG>G","TTG>C","TTG>A","GTG>G","GTG>C","GTG>A","CTG>G","CTG>C","CTG>A","ATG>G","ATG>C","ATG>A","CCA>A","CCA>G","CCA>T","CCC>A","CCC>G","CCC>T","CCG>A","CCG>G","CCG>T","CCT>A","CCT>G","CCT>T","TTC>G","TTC>C","TTC>A","GTC>G","GTC>C","GTC>A","CTC>G","CTC>C","CTC>A","ATC>G","ATC>C","ATC>A","GCA>A","GCA>G","GCA>T","GCC>A","GCC>G","GCC>T","GCG>A","GCG>G","GCG>T","GCT>A","GCT>G","GCT>T","TTA>G","TTA>C","TTA>A","GTA>G","GTA>C","GTA>A","CTA>G","CTA>C","CTA>A","ATA>G","ATA>C","ATA>A","TCA>A","TCA>G","TCA>T","TCC>A","TCC>G","TCC>T","TCG>A","TCG>G","TCG>T","TCT>A","TCT>G","TCT>T"
"1240209",2,12,1,41,8,4,2,8,0,3,13,2,23,2,9,16,3,8,2,2,31,7,4,9,0,4,0,53,7,2,0,8,0,2,26,1,7,2,15,5,6,3,0,5,23,5,5,16,1,38,0,20,8,5,0,28,3,1,17,2,14,9,3,0,36,6,0,9,18,2,40,5,3,5,2,24,5,3,2,3,1,0,8,0,8,4,16,1,3,8,3,5,24,0,12,50
"1240151",8,6,2,25,4,0,0,4,0,1,2,0,23,1,7,11,1,6,5,0,15,8,3,13,1,3,0,31,2,3,2,0,0,2,6,2,11,2,3,8,0,5,0,1,14,9,3,2,1,30,1,16,8,1,0,16,0,1,4,0,13,9,2,4,15,8,5,7,0,5,31,1,4,5,2,17,2,0,1,0,0,0,11,2,9,4,10,6,0,6,1,5,8,3,2,26
"1240155",18,36,18,40,29,1,9,19,3,6,27,4,35,11,24,17,8,18,8,4,143,13,6,26,1,16,4,47,35,7,2,60,3,8,51,4,16,6,16,12,3,17,3,4,118,23,3,25,6,46,4,21,26,7,10,31,5,0,33,7,14,13,26,5,28,39,0,9,173,9,46,42,2,22,8,23,48,0,2,19,0,1,58,4,6,4,15,2,7,21,0,3,57,6,7,50
"907055",3,14,2,47,6,2,7,12,2,5,11,6,43,4,17,5,2,7,6,1,55,12,7,23,7,7,0,41,8,3,5,15,2,6,22,2,15,4,18,7,2,21,3,0,27,6,9,22,5,35,1,14,15,0,1,27,2,1,25,0,10,10,10,1,21,11,3,3,26,6,40,21,4,6,4,17,5,1,3,3,1,4,10,0,16,10,42,4,9,36,5,6,32,4,35,55
"924250",9,0,0,47,8,0,8,2,1,0,6,3,30,1,7,12,0,6,6,3,13,11,2,18,1,2,0,55,9,0,1,2,4,0,6,0,9,0,3,0,6,5,3,10,14,4,0,17,2,35,2,21,2,2,1,40,1,1,11,0,16,18,12,1,29,12,1,7,15,0,46,8,1,1,4,24,2,2,2,6,0,2,4,0,12,1,12,5,1,14,2,2,12,12,9,52
"683667",2,1,1,29,2,0,0,0,1,0,7,1,16,0,5,8,0,8,5,0,14,8,0,10,0,5,0,37,9,0,3,10,6,0,9,1,8,1,0,1,8,11,3,4,14,2,1,8,3,17,1,13,7,0,1,13,0,2,10,2,20,22,4,0,10,10,3,3,14,1,34,9,3,3,4,23,2,0,0,7,0,0,6,2,5,2,11,0,3,20,1,3,11,2,1,33
"910850",2,1,0,24,0,3,4,4,3,1,8,0,16,0,9,7,0,8,5,1,29,8,1,9,0,6,0,31,3,0,0,1,2,2,10,1,6,3,2,0,4,5,1,1,12,2,0,16,1,21,2,11,8,2,4,18,5,1,10,0,11,7,0,4,21,3,3,9,20,3,22,8,1,1,2,6,2,0,1,7,0,1,4,2,8,2,12,0,0,19,2,6,18,6,3,24
"909738",4,0,4,45,2,2,8,9,0,0,13,2,18,2,11,13,4,8,6,1,40,11,1,21,0,0,0,41,11,0,1,13,2,3,10,6,8,6,14,1,13,17,0,4,38,5,1,17,1,36,1,26,8,0,9,13,1,0,17,6,6,15,4,6,35,9,4,12,23,2,44,14,0,8,1,15,6,1,3,1,0,0,22,2,6,1,21,0,4,12,2,2,17,0,2,23
"908476",3,7,3,28,0,1,4,11,4,1,11,2,26,4,10,11,3,4,9,2,21,8,0,10,0,10,3,17,3,0,4,8,8,3,11,0,17,7,2,8,0,17,2,3,14,14,0,2,4,39,3,11,5,1,0,18,5,0,11,2,15,14,3,12,16,6,4,4,14,1,20,9,2,1,1,15,1,2,1,1,1,2,2,2,9,4,11,10,7,15,2,0,9,14,5,22
"908467",7,8,3,30,2,6,0,16,3,1,5,1,15,17,205,2,3,16,5,4,153,8,12,86,0,15,0,20,4,2,0,16,6,2,8,0,15,7,80,9,0,7,1,6,123,21,3,82,4,28,5,14,8,3,5,13,3,0,14,4,5,13,279,4,14,49,0,2,200,5,35,190,0,14,6,15,2,4,1,11,0,0,13,7,3,2,62,2,1,36,0,2,43,7,8,61
"722066",1,3,8,25,3,2,7,5,11,1,8,4,46,14,14,26,8,21,12,9,9,29,8,11,1,5,5,32,9,11,7,11,39,3,11,11,63,11,19,73,12,21,27,9,27,62,13,35,1,30,6,10,7,8,0,15,14,0,12,3,27,15,9,34,30,9,11,7,21,12,21,4,0,4,6,16,4,9,0,14,9,1,11,4,32,24,17,43,19,19,12,7,28,26,15,41
"909721",5,2,0,25,0,0,0,6,0,1,7,3,18,4,0,5,6,15,4,4,33,11,3,8,1,0,2,21,3,7,4,5,4,5,25,3,12,1,18,7,0,8,1,3,33,4,5,16,0,37,1,11,13,0,1,22,2,1,13,0,12,9,11,8,25,6,0,6,18,6,22,5,3,3,1,15,4,0,2,3,4,2,18,1,17,21,57,8,7,30,0,4,26,8,43,54
"908463",4,7,8,25,6,6,1,6,3,1,11,2,40,7,16,28,1,22,7,6,44,10,6,13,3,3,4,17,6,6,5,12,16,0,23,3,48,8,19,46,12,16,14,7,37,41,13,15,3,38,5,6,8,1,0,18,8,1,20,5,13,12,8,31,22,5,9,6,21,9,29,15,4,7,6,9,3,9,0,10,6,3,12,2,16,11,30,21,5,21,11,6,13,20,16,32
"908472",0,0,3,22,4,4,0,11,10,2,15,6,36,5,21,24,7,9,17,12,19,22,6,10,3,2,5,35,10,10,3,13,22,3,17,6,46,5,30,40,5,16,19,7,22,47,8,28,0,35,2,12,4,8,2,14,8,1,21,4,26,17,12,19,23,11,8,8,15,12,20,15,4,2,14,11,5,2,0,9,8,1,15,9,34,52,55,47,25,39,9,8,21,31,59,51
