sample_id,cancer_type,feature,bina
905974,SKCM,SBS1,0
905975,SKCM,SBS1,0
905976,SKCM,SBS1,0
905979,KIRC,SBS1,0
905981,KIRC,SBS1,0
905982,GBM,SBS1,0
905983,GBM,SBS1,0
905984,LGG,SBS1,0
905985,GBM,SBS1,0
905986,GBM,SBS1,0
905989,COREAD,SBS1,0
905990,OV,SBS1,0
905991,OV,SBS1,0
906693,PAAD,SBS1,0
906695,ALL/CLL,SBS1,0
906696,THCA,SBS1,0
906746,GBM,SBS1,0
906763,ALL/CLL,SBS1,0
906765,MM,SBS1,0
906790,STAD,SBS1,0
906791,LUAD,SBS1,0
906792,SKCM,SBS1,0
906793,SKCM,SBS1,0
906794,HNSC,SBS1,0
906795,THCA,SBS1,0
906797,BLCA,SBS1,0
906798,BLCA,SBS1,1
906800,ALL/CLL,SBS1,0
906801,BRCA,SBS1,0
906804,OV,SBS1,0
906805,LUAD,SBS1,0
906807,DLBC,SBS1,1
906808,SCLC,SBS1,0
906812,BRCA,SBS1,0
906813,SKCM,SBS1,0
906814,SKCM,SBS1,0
906817,ESCA,SBS1,0
906818,SKCM,SBS1,0
906820,NB,SBS1,0
906821,PAAD,SBS1,0
906823,GBM,SBS1,0
906824,CESC,SBS1,0
906825,OV,SBS1,0
906826,BRCA,SBS1,0
906827,BONE,SBS1,0
906828,THCA,SBS1,0
906830,SKCM,SBS1,0
906831,LYMP,SBS1,1
906832,DLBC,SBS1,0
906834,MB,SBS1,0
906835,GBM,SBS1,0
906836,ALL/CLL,SBS1,0
906837,HNSC,SBS1,0
906838,LYMP,SBS1,1
906839,GBM,SBS1,0
906841,SKCM,SBS1,0
906842,DLBC,SBS1,0
906843,CESC,SBS1,0
906844,BRCA,SBS1,1
906846,LYMP,SBS1,0
906847,LYMP,SBS1,0
906848,STAD,SBS1,0
906849,STAD,SBS1,0
906851,BRCA,SBS1,0
906852,OV,SBS1,1
906853,BTCA,SBS1,0
906854,ALL/CLL,SBS1,0
906855,LCML,SBS1,0
906856,ALL/CLL,SBS1,0
906861,BTCA,SBS1,0
906862,BRCA,SBS1,0
906864,THCA,SBS1,1
906865,SKCM,SBS1,0
906868,LGG,SBS1,0
906869,STAD,SBS1,0
906870,LAML,SBS1,0
906871,LGG,SBS1,0
906872,NB,SBS1,0
906873,GBM,SBS1,0
906875,NB,SBS1,0
906877,ALL/CLL,SBS1,1
906999,SARC,SBS1,0
907000,UCEC,SBS1,0
907041,STAD,SBS1,0
907042,LGG,SBS1,0
907043,ALL/CLL,SBS1,0
907044,ALL/CLL,SBS1,0
907045,BRCA,SBS1,0
907046,BRCA,SBS1,0
907048,BRCA,SBS1,0
907050,HL,SBS1,0
907051,UCEC,SBS1,1
907053,LAML,SBS1,0
907055,STAD,SBS1,0
907056,ALL/CLL,SBS1,0
907057,LIHC,SBS1,0
907059,HNSC,SBS1,0
907060,BONE,SBS1,0
907061,HNSC,SBS1,0
907062,HNSC,SBS1,0
907063,DLBC,SBS1,0
907064,BONE,SBS1,0
907065,BLCA,SBS1,0
907066,BLCA,SBS1,0
907068,CESC,SBS1,0
907069,BTCA,SBS1,0
907072,BONE,SBS1,0
907073,STAD,SBS1,0
907169,SKCM,SBS1,0
907170,NB,SBS1,0
907171,SKCM,SBS1,0
907172,SKCM,SBS1,0
907173,MESO,SBS1,0
907175,UCEC,SBS1,0
907176,UCEC,SBS1,0
907268,LYMP,SBS1,0
907269,ALL/CLL,SBS1,0
907270,ALL/CLL,SBS1,0
907271,LGG,SBS1,0
907272,ALL/CLL,SBS1,1
907273,LYMP,SBS1,0
907274,DLBC,SBS1,0
907275,LAML,SBS1,0
907276,STAD,SBS1,1
907277,ALL/CLL,SBS1,0
907278,LAML,SBS1,0
907279,LGG,SBS1,0
907280,LAML,SBS1,0
907281,MM,SBS1,0
907282,LGG,SBS1,0
907285,PAAD,SBS1,0
907286,PAAD,SBS1,0
907287,COREAD,SBS1,0
907289,COREAD,SBS1,0
907290,BONE,SBS1,0
907291,COREAD,SBS1,1
907295,SCLC,SBS1,0
907298,SARC,SBS1,0
907299,KIRC,SBS1,0
907300,LAML,SBS1,0
907311,LCML,SBS1,0
907312,BLCA,SBS1,0
907313,GBM,SBS1,0
907314,NB,SBS1,0
907317,ESCA,SBS1,0
907318,ESCA,SBS1,0
907319,ESCA,SBS1,0
907320,ESCA,SBS1,0
907322,HL,SBS1,0
907323,HL,SBS1,0
907783,LCML,SBS1,0
907786,LUAD,SBS1,0
907787,ALL/CLL,SBS1,0
907788,PRAD,SBS1,1
907789,ALL/CLL,SBS1,0
907790,COREAD,SBS1,1
907791,MM,SBS1,0
907792,COREAD,SBS1,0
907794,COREAD,SBS1,1
907795,COREAD,SBS1,0
907796,LUSC,SBS1,0
908118,NB,SBS1,0
908120,BRCA,SBS1,0
908122,BRCA,SBS1,0
908123,BRCA,SBS1,0
908124,SKCM,SBS1,0
908125,SKCM,SBS1,0
908126,LCML,SBS1,0
908127,UCEC,SBS1,0
908128,SKCM,SBS1,0
908129,UCEC,SBS1,0
908130,UCEC,SBS1,1
908131,BONE,SBS1,0
908133,ALL/CLL,SBS1,0
908134,EWING,SBS1,0
908135,NB,SBS1,0
908136,ALL/CLL,SBS1,1
908138,STAD,SBS1,0
908139,STAD,SBS1,0
908142,ALL/CLL,SBS1,0
908143,ALL/CLL,SBS1,0
908144,LGG,SBS1,0
908145,LGG,SBS1,0
908146,ALL/CLL,SBS1,1
908147,ALL/CLL,SBS1,1
908148,LAML,SBS1,0
908149,ALL/CLL,SBS1,0
908150,MESO,SBS1,0
908151,BRCA,SBS1,0
908152,MESO,SBS1,0
908156,ALL/CLL,SBS1,0
908158,ALL/CLL,SBS1,1
908159,LYMP,SBS1,0
908440,NB,SBS1,0
908441,LGG,SBS1,1
908442,COREAD,SBS1,1
908443,LUSC,SBS1,0
908444,STAD,SBS1,1
908445,STAD,SBS1,0
908446,STAD,SBS1,0
908447,NB,SBS1,0
908448,LAML,SBS1,0
908449,LGG,SBS1,0
908450,LGG,SBS1,0
908451,LAML,SBS1,0
908452,LGG,SBS1,0
908455,STAD,SBS1,0
