COSMIC_ID,cancer_type,ACA>A,ACA>G,ACA>T,ACC>A,ACC>G,ACC>T,ACG>A,ACG>G,ACG>T,ACT>A,ACT>G,ACT>T,ATA>A,ATA>C,ATA>G,ATC>A,ATC>C,ATC>G,ATG>A,ATG>C,ATG>G,ATT>A,ATT>C,ATT>G,CCA>A,CCA>G,CCA>T,CCC>A,CCC>G,CCC>T,CCG>A,CCG>G,CCG>T,CCT>A,CCT>G,CCT>T,CTA>A,CTA>C,CTA>G,CTC>A,CTC>C,CTC>G,CTG>A,CTG>C,CTG>G,CTT>A,CTT>C,CTT>G,GCA>A,GCA>G,GCA>T,GCC>A,GCC>G,GCC>T,GCG>A,GCG>G,GCG>T,GCT>A,GCT>G,GCT>T,GTA>A,GTA>C,GTA>G,GTC>A,GTC>C,GTC>G,GTG>A,GTG>C,GTG>G,GTT>A,GTT>C,GTT>G,TCA>A,TCA>G,TCA>T,TCC>A,TCC>G,TCC>T,TCG>A,TCG>G,TCG>T,TCT>A,TCT>G,TCT>T,TTA>A,TTA>C,TTA>G,TTC>A,TTC>C,TTC>G,TTG>A,TTG>C,TTG>G,TTT>A,TTT>C,TTT>G,MH,MS,Insertion,Other
687505,CESC,1,0,22,0,1,2,0,0,67,2,1,10,3,11,1,2,12,3,3,14,1,4,6,1,7,0,5,13,0,6,5,1,62,30,0,7,0,12,0,1,9,2,0,30,2,0,13,3,1,1,37,1,2,49,1,1,61,7,2,40,0,27,0,0,7,0,1,21,1,2,10,2,2,0,7,0,0,6,2,0,24,5,0,7,2,16,1,2,12,0,0,11,1,4,7,2,34,662,103,33
687506,CESC,1,0,0,0,0,0,2,0,1,1,0,0,1,1,1,2,0,1,0,0,1,0,0,0,1,0,0,0,1,3,0,1,3,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,1,0,3,2,0,2,0,0,1,0,0,1,2,0,1,1,0,0,5,18,19,1,1,4,1,4,6,0,11,6,0,0,0,1,0,2,1,0,0,1,0,1,9,17,16,6
687514,CESC,1,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,5,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,5,1,10,2,0,2,1,0,2,4,4,3,0,0,0,0,0,0,1,0,0,2,0,1,5,15,16,13
687562,GBM,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1,0,0,0,2,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,2,0,3,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,1,0,0,2,0,0,2,0,1,0,0,0,0,1,0,2,3,1,8,15,24,8
687568,GBM,1,2,0,2,0,2,1,1,4,2,2,4,0,0,1,0,0,1,1,1,0,1,7,1,0,2,6,3,0,10,1,5,6,1,2,2,2,2,0,1,0,3,6,3,1,0,3,0,3,0,0,0,5,0,2,0,2,0,0,0,2,3,1,0,0,0,0,0,3,1,0,1,4,3,11,1,0,17,0,1,0,0,2,4,0,3,0,3,1,2,1,0,4,1,0,0,16,25,34,11
687586,GBM,0,2,1,2,0,3,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,1,2,3,0,1,1,1,0,1,0,0,2,0,0,11,23,25,11
687588,GBM,0,1,1,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,0,1,0,1,0,2,1,0,0,0,0,1,2,9,12,20,8
687590,GBM,0,0,3,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,3,0,1,2,0,3,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,4,1,2,1,0,0,3,0,5,0,0,0,0,1,0,0,0,1,1,0,2,2,0,2,12,14,24,10
687592,GBM,0,3,5,0,0,0,0,0,7,3,0,5,3,0,0,2,3,0,2,0,2,1,2,0,0,1,8,3,0,0,1,0,4,2,0,3,0,0,2,0,0,0,0,1,3,0,0,0,0,2,5,0,0,0,0,3,6,2,2,3,1,0,0,3,0,2,0,2,2,0,4,0,5,4,0,0,0,10,1,0,6,1,3,3,2,2,1,3,1,1,0,1,1,1,1,3,9,26,28,21
687596,LUSC,8,2,2,5,4,0,5,2,0,6,0,0,1,4,1,2,1,0,4,4,0,1,4,0,12,5,1,8,4,0,3,1,4,10,8,3,3,3,0,3,6,0,5,3,3,2,0,2,4,4,3,3,3,5,1,0,0,6,5,1,1,4,0,0,1,3,2,3,3,1,0,2,12,33,37,9,12,10,3,3,4,8,40,12,0,4,2,4,4,3,0,0,0,2,0,3,8,14,33,10
687600,LUSC,5,1,1,2,2,2,3,1,0,2,2,0,1,0,1,0,0,0,1,5,0,1,2,0,8,0,4,7,1,2,1,0,0,3,3,8,0,0,0,3,0,3,4,1,0,1,1,1,7,5,2,3,0,1,2,2,0,5,1,1,3,2,2,3,1,1,1,8,1,2,0,0,7,7,16,4,8,7,0,2,4,5,15,7,1,4,1,1,1,0,1,1,1,3,0,2,14,33,31,13
687777,LUAD,1,0,2,0,2,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,2,0,1,1,1,2,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,2,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,3,0,0,0,0,0,0,1,1,0,1,0,0,1,8,13,23,7
687780,LUSC,2,0,1,3,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,2,0,1,2,0,1,1,0,2,0,2,3,0,5,3,0,1,0,0,0,1,0,1,1,0,1,0,1,1,2,0,0,1,1,1,2,0,0,0,1,1,0,2,0,2,0,0,1,1,1,1,0,1,3,4,9,2,1,1,1,1,0,8,8,6,1,0,0,0,0,0,1,0,0,1,0,1,11,19,26,7
687787,LUSC,4,0,3,7,4,7,1,1,0,2,3,3,0,1,4,0,0,0,0,4,2,0,0,3,1,2,7,3,2,8,3,0,0,2,0,0,0,0,0,0,0,1,3,3,0,1,1,0,1,0,10,2,0,0,4,1,1,5,2,3,2,3,1,0,4,0,2,8,0,0,3,0,8,6,8,3,2,11,3,2,1,3,4,3,1,1,0,3,2,2,0,2,4,0,3,1,10,17,23,14
687794,LUAD,10,3,3,5,0,2,3,0,0,8,4,2,1,1,1,0,0,0,1,0,0,0,0,1,4,1,7,3,0,2,6,0,4,7,2,6,2,0,1,2,7,0,3,4,1,1,1,1,2,1,1,5,3,1,4,0,0,2,6,0,1,3,1,0,0,1,1,0,4,0,0,4,6,6,4,9,2,2,1,0,1,2,3,9,0,1,2,1,1,1,0,0,0,1,0,1,8,16,39,10
687798,LUAD,17,2,5,14,2,6,8,2,4,21,5,1,5,3,1,2,3,0,6,6,0,2,0,0,33,4,14,25,3,16,13,3,2,22,6,11,3,2,0,2,2,0,9,7,4,8,1,1,14,2,2,7,1,4,16,3,1,13,6,4,4,7,1,5,0,2,3,2,6,2,4,6,19,3,15,21,6,8,4,4,2,16,8,17,3,2,1,1,7,1,4,4,2,1,1,3,12,31,43,15
687799,LUAD,8,0,3,4,0,2,6,3,2,0,2,0,1,0,0,2,0,0,0,3,1,2,0,1,9,6,4,15,3,3,2,0,0,5,1,2,1,0,0,3,1,0,6,2,1,1,5,0,6,1,4,10,4,1,5,0,0,3,0,4,2,2,2,1,2,0,1,2,1,1,5,0,3,4,9,7,3,1,3,2,3,6,4,7,3,3,0,1,0,1,0,0,0,0,0,0,37,74,74,32
687800,LUAD,1,0,1,0,2,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,0,0,1,1,2,0,2,3,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0,7,0,0,5,2,3,3,0,0,9,1,1,0,0,6,6,2,0,1,0,5,1,0,0,0,0,0,0,10,21,35,12
687802,LUAD,7,0,2,4,1,0,2,1,1,4,1,3,2,4,0,1,1,0,2,2,1,0,1,1,9,3,7,6,2,2,5,1,2,5,0,4,1,0,1,0,2,1,5,1,3,3,1,0,3,1,1,7,1,3,0,0,0,4,0,3,2,0,1,1,0,0,5,1,0,0,2,0,7,1,3,5,1,0,1,1,0,5,3,3,1,0,1,0,2,1,4,0,3,3,1,1,10,17,19,9
687807,LUAD,11,0,4,12,2,3,7,1,2,10,2,6,2,2,1,2,0,0,1,2,0,0,1,0,24,4,4,10,6,5,12,6,3,13,7,4,4,1,0,5,6,0,7,9,2,4,3,8,11,0,9,11,3,1,6,4,3,10,4,6,2,0,2,0,2,2,7,2,4,2,2,6,17,7,13,10,7,7,3,2,2,9,7,5,3,2,2,3,4,2,2,2,2,3,5,1,14,28,26,10
687812,LUAD,4,0,0,1,1,1,3,1,0,5,0,1,4,0,1,0,2,0,1,3,0,2,0,0,7,1,0,3,0,7,4,1,2,8,2,0,4,0,0,4,1,0,2,0,3,6,2,1,4,2,3,5,1,1,6,1,3,5,1,0,0,1,0,2,0,0,3,0,0,0,0,0,2,0,0,1,1,1,2,2,1,6,3,0,0,0,0,0,0,0,0,1,1,0,0,1,10,8,22,7
687815,LUSC,2,2,4,4,1,0,3,0,0,4,1,2,0,0,0,2,3,0,0,3,0,1,0,0,10,0,0,9,1,0,2,3,1,6,1,2,1,1,0,0,9,2,3,0,0,0,3,1,2,0,2,1,1,0,1,0,0,3,2,3,2,0,4,1,0,2,2,2,7,3,0,3,1,3,3,4,2,3,3,0,2,2,1,6,1,0,1,1,3,0,0,0,2,0,0,0,9,14,44,14
687816,LUAD,5,2,0,0,2,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,3,0,0,2,2,0,0,0,3,1,2,0,0,1,0,0,0,2,1,1,0,0,3,0,0,2,1,0,7,0,0,5,8,8,21,2,4,3,2,0,6,0,9,17,0,0,0,0,4,1,0,1,0,0,1,1,12,23,48,10
687819,LUAD,26,5,13,31,6,7,19,3,15,18,6,2,10,12,0,4,2,1,7,19,1,11,0,1,59,14,19,63,10,17,28,9,9,45,14,14,7,8,1,3,7,2,22,14,10,16,4,9,25,4,15,35,6,14,23,11,3,13,3,7,9,9,1,6,1,2,19,3,3,1,4,0,37,24,33,36,15,15,9,3,8,23,19,31,9,7,1,14,1,0,5,0,1,8,1,2,14,36,21,14
