cancer_type,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60
MESO,9.329268293,0.195121951,0,0,14.70731707,0.158536585,0.085365854,0,0,0,0,0,0.024390244,0.353658537,0,0,0,0,0.5,0,0,0,0,0.402439024,0,0,0,0,0,0,0,0,0,0,3.890243902,0.231707317,0,0.012195122,0,0.219512195,0,0,0.109756098,0,14.57317073,0,0,0,0,0,0,0,0.06097561,0.073170732,0,0,0.036585366,0,0.097560976,0,0,0,0.024390244,0.085365854,0
OV,11.47792208,1.6,13.09350649,0.566233766,50.9038961,0.062337662,0.228571429,0.249350649,0.062337662,0.054545455,0.85974026,0,0.051948052,0.155844156,0,0,1.309090909,0.038961039,0.166233766,0.01038961,0,0,1.038961039,0,0,0,0.015584416,0.036363636,0,0,0,0.423376623,0.005194805,0.745454545,0.031168831,0.018181818,0.132467532,0,0,0.194805195,0.550649351,0,5.306493506,1.545454545,23.90649351,0,0.402597403,0.083116883,0,0.075324675,0,0,0,2.231168831,0.337662338,0.111688312,0.937662338,0.015584416,0,0,0.028571429,0.109090909,0.046753247,0.057142857,0
PAAD,17.29885057,0.58045977,0.189655172,0,77.67816092,46.1954023,0.396551724,0.109195402,0,0.097701149,0,0,0.040229885,0.701149425,0,0,0.655172414,29.17816092,0.770114943,0,0.034482759,0.022988506,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0.08045977,0.166666667,0,0.028735632,0,0,0,0,0,0.212643678,0,0,0,0.011494253,0,0.005747126,0,0.028735632,0,0.063218391,0,0.25862069,0,0.005747126,0,0,0,0.034482759,0,0.005747126
PCPG,1.697802198,0.148351648,0.192307692,0,6.873626374,0.016483516,0.241758242,0.071428571,0.038461538,0.17032967,0,0,0.016483516,0.186813187,0.054945055,0.076923077,0.093406593,0,0.802197802,0.313186813,0.17032967,0.027472527,0.06043956,0.181318681,0,0.027472527,0,0.06043956,0.104395604,0,0.076923077,0.032967033,0.043956044,0.032967033,0.076923077,0.131868132,0.120879121,0.076923077,0,0.142857143,0.021978022,0,0.082417582,0.038461538,0.21978022,0,0.450549451,0,0.164835165,0.021978022,0.043956044,0,0.016483516,0.021978022,0.082417582,0,0.054945055,0.032967033,0.186813187,0,0.049450549,0.071428571,0.214285714,0.027472527,0.016483516
PRAD,12.19008264,0.107438017,0,0,21.07024793,14.82644628,0.123966942,0.047520661,0.037190083,0.07231405,0,0,0.045454545,0.291322314,0.024793388,0,0.053719008,0,0.816115702,0.059917355,0.008264463,0.002066116,0,0.022727273,0,0.041322314,0.01446281,0,0,0.17768595,0,0,0.010330579,0,0.061983471,0.018595041,0.039256198,0,0.004132231,0,0,0,0,0,9.98553719,0.010330579,0.272727273,0,0,1.398760331,0.035123967,0,0.002066116,0.022727273,0.055785124,0,0.010330579,0,0.002066116,0,0.024793388,0,0.024793388,0.018595041,0
SARC,15.64903846,0.408653846,1.836538462,1.331730769,44.39423077,0,12.32692308,14.75480769,0.721153846,1.019230769,1.033653846,0,0.004807692,0.086538462,0.072115385,0,0.216346154,0.206730769,0.456730769,0.076923077,0.019230769,0,0.961538462,0.0625,0.144230769,0,0.024038462,0,0.081730769,0.173076923,0,0,0.028846154,0.403846154,0.052884615,0.125,0.067307692,0,0,0.278846154,0.384615385,0,0.120192308,0.096153846,9.995192308,0,0.201923077,0,0,0.072115385,0,0,0.009615385,0.028846154,0.1875,0.033653846,0.163461538,0,0,0,0.028846154,0,0.543269231,20.69230769,0
SKCM,9.878640777,0.080097087,0,0,87.38834951,0,424.8058252,251.5242718,8.699029126,15.04368932,0,0,0.002427184,0.067961165,0,0,0.058252427,1.572815534,0.060679612,0,0.941747573,1.611650485,0,0,0,0,0,0,0,0,0,0,0.02184466,0,0,0,0.024271845,0,0,0,2.436893204,0,68.95631068,0.084951456,0,0,0.024271845,0,0,203.8956311,0,0,0,9.099514563,0,0,1.276699029,0,0.012135922,0.031553398,0,0,0,0,0.002427184
STAD,115.1770574,2.763092269,0,0,159.9027431,13.72817955,0,0,0,0,0,0,4.034912718,6.867830424,0,0,2.294264339,4.466334165,37.80548628,0,6.443890274,13.83790524,0,0,27.50374065,9.3840399,0.206982544,0,0,0,0,0,0.261845387,0,0.037406484,0,0,0,0,0,0,0,0,0,29.21446384,0,0.044887781,0,0,0.117206983,0,0,0.012468828,0,0.002493766,0,0,0,6.980049875,0,0.221945137,0,0.002493766,0,0
TGCT,1.429530201,0.161073826,0.919463087,0.073825503,11.36241611,0.093959732,0.134228188,0.073825503,0.046979866,0.087248322,0,0,0.087248322,0.127516779,0,0.026845638,0.261744966,0,0.516778523,0.033557047,0.100671141,0.013422819,0.093959732,0.469798658,0.013422819,0,0,0.046979866,0.697986577,0,0.046979866,0,0.046979866,0.315436242,0.040268456,0.154362416,0.181208054,0,0.033557047,0.261744966,0,0,0.033557047,0.476510067,1.32885906,0,0.872483221,0.11409396,0.395973154,0.073825503,0,0,0,0.120805369,0.11409396,0,0.087248322,0.067114094,0.026845638,0,0.020134228,0.060402685,0.147651007,0.080536913,0.040268456
THCA,1.594142259,1.305439331,0.020920502,0,6.849372385,0.020920502,0.167364017,0.039748954,0.012552301,0.092050209,0,0,0.027196653,0.192468619,0.108786611,0.016736402,0.859832636,0.016736402,0.506276151,0.248953975,0.056485356,0.025104603,0.060669456,0.150627615,0.033472803,0.029288703,0.052301255,0.071129707,0.108786611,0.060669456,0.008368201,0.014644351,0.027196653,0.037656904,0.09832636,0.242677824,0.09623431,0.020920502,0.010460251,0.079497908,0.035564854,0,0.077405858,0.014644351,0.029288703,0,0.533472803,0.0041841,0.146443515,6.673640167,0.048117155,0,0.031380753,0.483263598,0.108786611,0.071129707,0.060669456,0.092050209,0.062761506,0.006276151,0.0041841,0.060669456,0.119246862,0.033472803,0.014644351
THYM,5.487804878,0.390243902,0.642276423,0.943089431,16.08130081,2.804878049,0.113821138,0.032520325,0.081300813,0.12195122,0.495934959,0,0.113821138,0.12195122,0.040650407,0,0.235772358,0.056910569,0.829268293,0.414634146,0.390243902,0,1.008130081,0.178861789,0.048780488,0.048780488,0,0.040650407,0.333333333,0,0,0.016260163,0.032520325,0.292682927,0.056910569,0,0,0,0,0,0.219512195,0.073170732,0.341463415,0,1.203252033,0,0.504065041,0,0.430894309,0.219512195,0.105691057,0.178861789,0.06504065,0.18699187,0.06504065,0,0.146341463,0.138211382,0.032520325,0,0.056910569,0,0.097560976,0.048780488,0
UCEC,213.0564972,3.806026365,0,0,470.0018832,0,1.088512241,3.514124294,0.001883239,1.052730697,0,0,259.2768362,218.7570621,0,0,4.966101695,114.2636535,136.6271186,0,0.007532957,0,0.062146893,0,18.88888889,15.0960452,0,0,0,0,4.276836158,0,51.69868173,0,0.265536723,0,0,0,0,0,0,0,0,0.13559322,11.58003766,0,0,0,110.4952919,0,0,0,0,0,0,0,0,0,0.397363465,0,0,0,0,0,0
